GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
20000,Kansas,6077,6585,7116,7851,8708,9001,9566,10151,10694,11472,12804,13371,14671,15553,15992,17225,18032,19097,19479,20428,21178,22384,22848,24644,25415,26233,26280,27620,28703,29978,31392,32669,34011,34663,36360,38056,39549,41073,41947,44464,43490,44916,47695,48313,49920
21000,Kentucky,5958,6336,6765,7353,7916,8620,9296,10114,11059,11906,13139,13877,15226,15908,16197,17822,18339,18401,19390,20724,21512,22258,23288,24792,25316,26141,26077,27136,28228,29522,30860,32488,33902,35214,36419,38250,39631,40517,40868,42386,42194,43578,44727,45936,46393
22000,Louisiana,6222,6646,7134,7612,8198,8946,9682,10689,11652,12771,14163,15450,17089,17899,18461,19182,19741,20171,20591,21551,22359,23569,24484,25949,26379,27431,27878,28681,29684,30547,31259,32422,34399,35505,36784,38341,40408,43198,44177,46844,46105,47779,48752,50229,51198
23000,Maine,5894,6316,6713,7210,7804,8373,8768,9798,10304,11058,11931,12908,13980,14735,15594,16668,17536,18362,19519,20636,21766,22563,23228,24152,24523,25077,25652,26442,27407,28526,29962,31039,32460,33681,35013,36397,36953,38627,39073,40046,40541,41726,42267,43104,43981
24000,Maryland,7318,7857,8417,8990,9651,10360,11119,12063,12715,13577,14549,15754,17113,18090,19034,20366,21395,22434,23339,24885,26032,27246,28646,30250,31199,32124,32723,33652,35096,37229,38926,40963,43130,44740,46437,48954,50588,52526,53294,55090,56289,58236,59849,60835,61072
25000,Massachusetts,7283,7771,8327,8863,9372,9857,10573,11388,12180,13068,14079,15292,16700,17925,19322,20798,22115,23417,25511,27301,28654,29756,31160,32771,33527,34619,36127,37895,39541,41203,44084,48081,49556,50049,51239,54013,54971,57234,58774,60118,60101,62606,64496,66553,67020
26000,Michigan,8545,8788,9478,10276,11099,11556,12376,13598,14889,16091,17309,18327,19548,20173,21259,22809,24026,25049,25327,26688,27618,28262,29132,30940,32205,33444,34266,35166,36354,38465,40032,41583,42443,43293,44376,45558,46206,47085,47216,47910,46840,48081,49074,50449,50753
27000,Minnesota,7047,7555,7943,8308,9357,9666,10214,10765,11898,12953,13828,14688,15991,16869,17496,19324,20094,21143,22109,22846,24244,25193,25768,27539,27779,28948,29373,31202,32413,34695,36210,38412,39725,40860,42477,44399,44930,45908,47434,49539,48194,50416,52416,54318,54466
28000,Mississippi,5042,5336,5716,6297,6931,7320,7908,8790,9554,10321,11478,11901,13165,13940,14255,15349,16044,16551,17541,18424,19197,20107,20928,22213,22845,24060,24499,25392,26277,27487,28281,29266,30895,31475,33076,34916,36105,36908,37384,38840,38849,39580,40075,42130,42797
29000,Missouri,6652,7139,7632,8165,8750,9080,9866,10579,11545,12492,13563,14246,15589,16271,17020,18287,19232,19874,20960,21982,22979,23680,24572,26130,26452,27519,28279,29498,30677,31748,33166,34849,36141,37359,38661,40401,41260,42789,43526,45579,45398,46362,46974,48652,49704
30000,Montana,6302,6809,7079,8028,8975,9237,9927,10167,10540,11980,12457,13332,14682,15071,15482,15785,15859,16837,17330,17466,18866,19470,20707,21595,23051,22340,22578,22780,23263,24586,25601,26504,27592,28454,29818,31269,32641,33581,34578,35884,35732,37335,39192,41009,41435
31000,Nebraska,6305,6567,7086,7647,8653,8620,9773,9936,10443,11929,12480,12693,14583,15231,15580,17309,18209,18851,19528,20653,21310,22479,23168,24596,24805,25520,26378,28323,28641,29790,31056,32173,33884,34893,37504,39214,40226,40841,42483,44665,44678,45909,49886,51466,53194
32000,Nevada,8059,8502,9026,9601,10124,10559,11320,12125,12918,13973,14933,16294,17747,18543,19443,20179,20889,21602,22186,23754,24666,26073,27583,30132,31058,31310,32334,33307,34270,35925,37650,38711,40068,40951,42047,43883,45654,47076,48254,47990,46933,47823,47282,48553,48711
33000,New Hampshire,6067,6427,6843,7313,7776,8231,8914,9664,10326,11301,12310,13229,14331,15248,16454,17388,18426,19643,21601,22934,23902,24339,25348,26640,27245,28012,29106,30334,31916,33914,35343,38026,39364,40446,41577,43511,44611,46623,46876,47758,48385,50393,51446,52662,53637
34000,New Jersey,7907,8365,8958,9578,10216,10927,11850,12759,13718,14762,15955,17215,18681,19889,21132,22493,23729,25079,26857,29096,30426,32074,33503,35865,37069,38325,39562,41039,42854,44888,46680,49249,50518,51920,53002,54570,55817,57789,58820,60087,60181,61555,62375,64171,64940
35000,New Mexico,6512,6999,7367,7835,8389,8952,9816,10526,11305,12316,13312,14437,15725,16504,17208,18127,18951,19365,19693,19951,20818,22033,22923,24331,25376,25972,26328,26892,27924,29152,30192,32360,34496,35839,36379,37571,38922,40179,40897,42643,42376,44247,45736,46685,46759
36000,New York,8373,8924,9578,10265,10801,11524,12407,13245,14213,15308,16452,17967,19537,20921,22418,23970,25310,26795,28923,31164,32702,34863,35201,37915,38721,39541,41174,43140,45460,47273,49229,51761,53713,53872,54828,57287,58864,62208,64952,65699,64618,67703,68325,69548,69992
37000,North Carolina,5583,5953,6401,6977,7611,8164,8840,9529,10101,11111,11838,12879,14168,14998,15942,17252,18154,19092,20160,21240,22301,23198,24262,25910,26687,27716,28330,29322,30571,32307,33868,35722,37101,37689,38769,40284,41578,43110,43528,44689,45243,47213,46909,49813,50275
38000,North Dakota,5978,6040,6912,8247,11497,10811,10805,9983,9914,12426,12248,10626,13969,14492,15146,16306,16929,17361,17995,16179,18045,19707,19767,21809,21437,22929,22068,24896,23454,25939,26271,28403,28891,29880,33412,33469,34914,35758,38339,42571,41979,45328,48131,55588,52733
39000,Ohio,7650,7957,8462,9058,9717,10345,11050,12059,13084,14080,15238,16160,17423,18199,19212,20687,21558,22167,22840,24111,25132,26170,26859,28710,29451,30401,30828,31697,33018,34561,35783,36985,38329,39488,40842,42437,43187,44800,45321,46321,46224,47816,49650,51098,52222
40000,Oklahoma,6037,6489,6916,7334,8099,8637,9386,10084,10883,11858,13357,14501,15980,17044,17323,18232,18949,19756,19553,20354,21332,22137,22643,23942,24502,24956,24881,25659,26730,27993,29021,31082,33456,34454,35988,37761,39737,41917,41315,44906,41573,44269,47655,49920,50875
41000,Oregon,7038,7398,7858,8452,9058,9818,10401,11374,12131,13244,14413,15460,16395,16851,17425,18433,19021,19758,20405,21596,22633,23950,25091,26711,27865,28555,29311,30636,31819,33348,34772,37115,37938,38558,39500,40789,41409,42950,43595,44373,44253,45373,46642,48680,49389
42000,Pennsylvania,7340,7774,8244,8861,9489,10264,11130,12031,13054,14142,15325,16362,17723,18493,19385,20608,21428,22207,23204,24661,25942,27044,28173,30050,31015,31870,32478,33561,34774,36451,37976,39647,41238,42466,43974,46010,47033,48787,49594,50967,51139,52611,54148,55424,56559
44000,Rhode Island,6731,7219,7653,8210,8632,9040,9756,10462,11070,11910,13009,14131,15232,16288,17449,18385,19389,20347,21674,23307,24585,25645,26467,27831,28606,29628,30793,31506,32831,34966,36288,38120,39696,41659,43460,45064,46020,48072,48479,49675,49981,52601,53107,54933,55897
45000,South Carolina,5519,5816,6241,6769,7326,7963,8552,9349,10002,10928,11891,12815,14077,14809,15781,16904,17672,18469,19563,20587,21450,22426,23449,24736,25503,26180,26743,27555,28450,29963,31332,32755,34079,34992,36260,37388,38481,39916,40495,41866,42427,43201,43646,45236,46083
46000,South Dakota,5432,5784,6283,7281,9066,8600,9278,8654,9707,10942,11830,11196,12928,13197,13443,15361,15609,16363,17032,17620,18395,19949,20316,21746,22190,23135,22549,24895,24956,26912,28088,29604,30558,30853,34205,35867,36039,35010,37623,40746,40205,42244,46348,47139,48261
47000,Tennessee,5733,6106,6586,7061,7628,8162,8878,9701,10438,11505,12459,13403,14675,15447,16363,17534,18430,19211,20128,21191,21907,22810,23902,25713,26503,27255,28251,29289,30559,33241,34427,35842,37173,38578,39684,41260,41714,43026,43361,44474,45033,46260,47498,50030,50757
48000,Texas,6477,6952,7368,7873,8530,9163,10145,11094,11913,13047,14425,15727,17457,18394,19289,20160,20956,21672,21613,22634,23673,25015,25833,27665,28554,29192,30009,31457,33369,35744,37619,39879,42294,42247,43275,44784,46312,48893,49214,51664,49110,51488,54042,56344,57319
49000,Utah,6388,6845,7393,7825,8311,8881,9624,10488,11311,12251,13308,14469,15913,16666,17420,18314,18914,19495,19665,20270,20920,21912,23062,24667,25444,25725,26637,27289,28428,29930,31541,32856,34515,35102,35692,37041,38241,40628,41487,42221,42036,43238,44306,45891,46981
50000,Vermont,6067,6450,6812,7280,7698,8040,8564,9298,9783,10776,11675,12441,13447,14107,14867,15777,16691,17518,18880,19838,21023,21795,22470,23625,24114,24521,25115,26145,27041,28313,29650,31189,32648,33688,35109,36582,37451,38250,38981,40098,40104,41370,43139,43794,44862
51000,Virginia,6479,6914,7465,8079,8612,9196,9963,10711,11491,12436,13439,14637,16169,17239,18334,19579,20460,21397,22355,23987,24980,25727,27074,28684,29451,30280,30863,31878,33306,35342,37271,39590,41519,42599,44436,46760,48597,50184,51322,52591,53669,55564,56670,58026,58606
53000,Washington,7609,7954,8435,9019,9752,10550,11494,12289,13200,14564,15833,17065,18504,19315,19959,20611,21240,22219,22644,23640,24723,26270,27848,30103,30986,31172,32097,33425,35116,38097,40653,42313,43222,44401,45544,47038,48117,49979,51419,52611,52758,54941,56787,59071,59652
54000,West Virginia,6413,6937,7410,8022,8485,9169,10112,11048,12177,13209,14405,15475,16769,17698,17981,19173,19914,20195,20545,21702,22416,23348,24136,25339,25949,26607,26787,27299,27971,28626,29628,31029,32281,33172,34249,35764,37095,38939,38825,40999,41296,42292,44598,45890,46871
55000,Wisconsin,6854,7176,7617,8139,8739,9275,9967,10744,11700,12671,13726,14672,15695,16364,16985,18197,18937,19798,20711,21591,22869,23689,24450,26135,27099,28054,28485,29565,30919,32443,33671,34941,36550,37920,39272,40883,41650,43028,43930,45194,45552,46400,48044,49377,50506
56000,Wyoming,6219,6725,7177,7859,8767,9727,10500,11082,12176,13610,15093,16591,17969,18390,18299,18877,19648,20180,19397,19370,20745,22009,22426,23429,24475,24215,24547,25116,26704,27611,29110,30337,32217,33118,34728,36249,38255,42161,43202,46896,45118,47256,49763,51343,52420
